fecha,region,vendedor,producto,cantidad,precio_unitario,ingreso
2024-01-01,Norte,Carlos,B,4,49.0,196.0
2024-01-02,Oeste,Ana,C,8,41.0,328.0
2024-01-03,Este,Carlos,B,1,22.0,22.0
2024-01-04,Sur,Ana,C,9,48.0,432.0
2024-01-05,Sur,Carlos,B,5,29.0,145.0
2024-01-06,Oeste,Carlos,A,2,30.0,60.0
2024-01-07,Norte,Carlos,C,3,27.0,81.0
2024-01-08,Este,Sofía,C,5,15.0,75.0
2024-01-09,Norte,Luis,A,3,47.0,141.0
2024-01-10,Norte,Sofía,C,1,10.0,10.0
2024-01-11,Este,Luis,A,6,16.0,96.0
2024-01-12,Oeste,Carlos,C,7,19.0,133.0
2024-01-13,Este,Sofía,C,2,21.0,42.0
2024-01-14,Oeste,Luis,B,3,15.0,45.0
2024-01-15,Este,Sofía,C,3,10.0,30.0
2024-01-16,Oeste,Sofía,A,6,37.0,222.0
2024-01-17,Este,Ana,A,7,48.0,336.0
2024-01-18,Norte,Ana,A,7,14.0,98.0
2024-01-19,Oeste,Ana,B,9,21.0,189.0
2024-01-20,Sur,Ana,C,7,30.0,210.0
2024-01-21,Este,Luis,A,3,47.0,141.0
2024-01-22,Sur,Sofía,B,1,37.0,37.0
2024-01-23,Norte,Sofía,C,6,40.0,240.0
2024-01-24,Oeste,Luis,A,9,33.0,297.0
2024-01-25,Oeste,Carlos,C,9,26.0,234.0
2024-01-26,Este,Sofía,A,3,17.0,51.0
2024-01-27,Sur,Ana,C,3,44.0,132.0
2024-01-28,Oeste,Carlos,B,1,42.0,42.0
2024-01-29,Este,Sofía,B,2,11.0,22.0
2024-01-30,Sur,Sofía,A,5,38.0,190.0
2024-01-31,Sur,Sofía,B,5,13.0,65.0
2024-02-01,Norte,Sofía,C,4,39.0,156.0
2024-02-02,Norte,Ana,A,3,43.0,129.0
2024-02-03,Este,Sofía,C,8,15.0,120.0
2024-02-04,Oeste,Carlos,B,5,27.0,135.0
2024-02-05,Norte,Luis,C,8,14.0,112.0
2024-02-06,Oeste,Sofía,B,9,32.0,288.0
2024-02-07,Oeste,Ana,B,3,47.0,141.0
2024-02-08,Sur,Luis,A,2,13.0,26.0
2024-02-09,Este,Luis,B,9,25.0,225.0
2024-02-10,Norte,Carlos,A,6,48.0,288.0
2024-02-11,Oeste,Ana,B,3,22.0,66.0
2024-02-12,Este,Luis,A,6,15.0,90.0
2024-02-13,Sur,Luis,B,5,29.0,145.0
2024-02-14,Norte,Carlos,B,9,30.0,270.0
2024-02-15,Oeste,Carlos,A,3,36.0,108.0
2024-02-16,Sur,Ana,C,9,22.0,198.0
2024-02-17,Oeste,Ana,B,9,48.0,432.0
2024-02-18,Este,Carlos,C,2,30.0,60.0
2024-02-19,Oeste,Ana,A,2,21.0,42.0
2024-02-20,Oeste,Carlos,A,5,48.0,240.0
2024-02-21,Norte,Luis,B,1,46.0,46.0
2024-02-22,Sur,Carlos,A,3,29.0,87.0
2024-02-23,Sur,Luis,A,4,10.0,40.0
2024-02-24,Sur,Luis,B,9,33.0,297.0
2024-02-25,Norte,Sofía,A,9,32.0,288.0
2024-02-26,Este,Ana,C,2,15.0,30.0
2024-02-27,Norte,Sofía,A,9,35.0,315.0
2024-02-28,Este,Sofía,A,1,43.0,43.0
2024-02-29,Este,Carlos,B,7,14.0,98.0
2024-03-01,Oeste,Carlos,C,8,38.0,304.0
2024-03-02,Este,Sofía,A,9,15.0,135.0
2024-03-03,Sur,Luis,A,3,39.0,117.0
2024-03-04,Oeste,Luis,C,9,26.0,234.0
2024-03-05,Sur,Luis,C,2,10.0,20.0
2024-03-06,Sur,Carlos,B,5,48.0,240.0
2024-03-07,Oeste,Luis,B,5,16.0,80.0
2024-03-08,Sur,Ana,B,3,33.0,99.0
2024-03-09,Norte,Luis,B,1,17.0,17.0
2024-03-10,Sur,Ana,B,7,47.0,329.0
2024-03-11,Oeste,Ana,A,4,39.0,156.0
2024-03-12,Norte,Ana,A,6,42.0,252.0
2024-03-13,Sur,Carlos,A,4,27.0,108.0
2024-03-14,Norte,Sofía,C,4,28.0,112.0
2024-03-15,Este,Sofía,B,8,35.0,280.0
2024-03-16,Sur,Luis,B,1,41.0,41.0
2024-03-17,Sur,Sofía,B,7,43.0,301.0
2024-03-18,Norte,Ana,C,7,10.0,70.0
2024-03-19,Este,Carlos,A,4,36.0,144.0
2024-03-20,Este,Sofía,A,3,14.0,42.0
2024-03-21,Oeste,Carlos,A,1,21.0,21.0
2024-03-22,Sur,Ana,B,9,43.0,387.0
2024-03-23,Norte,Luis,C,9,20.0,180.0
2024-03-24,Oeste,Sofía,B,3,41.0,123.0
2024-03-25,Este,Luis,B,1,28.0,28.0
2024-03-26,Este,Luis,C,2,19.0,38.0
2024-03-27,Norte,Ana,A,1,23.0,23.0
2024-03-28,Sur,Luis,B,8,31.0,248.0
2024-03-29,Oeste,Ana,B,9,40.0,360.0
2024-03-30,Oeste,Luis,B,2,34.0,68.0
2024-03-31,Sur,Sofía,C,7,47.0,329.0
2024-04-01,Oeste,Sofía,A,2,44.0,88.0
2024-04-02,Oeste,Sofía,C,4,40.0,160.0
2024-04-03,Sur,Luis,A,6,34.0,204.0
2024-04-04,Oeste,Carlos,B,7,21.0,147.0
2024-04-05,Sur,Ana,B,8,26.0,208.0
2024-04-06,Norte,Luis,C,1,14.0,14.0
2024-04-07,Este,Ana,B,2,24.0,48.0
2024-04-08,Este,Luis,A,3,47.0,141.0
2024-04-09,Norte,Carlos,A,3,27.0,81.0
