id_cliente,cliente,region,segmento
1001,Cliente_1,Este,Enterprise
1002,Cliente_2,Norte,Retail
1003,Cliente_3,Este,SMB
1004,Cliente_4,Sur,Retail
1005,Cliente_5,Oeste,SMB
1006,Cliente_6,Este,Retail
1007,Cliente_7,Oeste,Retail
1008,Cliente_8,Sur,Enterprise
1009,Cliente_9,Este,Enterprise
1010,Cliente_10,Sur,SMB
1011,Cliente_11,Oeste,Enterprise
1012,Cliente_12,Este,Retail
1013,Cliente_13,Oeste,SMB
1014,Cliente_14,Este,Enterprise
1015,Cliente_15,Oeste,Enterprise
1016,Cliente_16,Norte,Retail
1017,Cliente_17,Norte,SMB
1018,Cliente_18,Este,Retail
1019,Cliente_19,Norte,SMB
1020,Cliente_20,Norte,Enterprise
1021,Cliente_21,Este,SMB
1022,Cliente_22,Oeste,Enterprise
1023,Cliente_23,Sur,Retail
1024,Cliente_24,Norte,SMB
1025,Cliente_25,Este,Enterprise
1026,Cliente_26,Sur,Retail
1027,Cliente_27,Oeste,Enterprise
1028,Cliente_28,Norte,Retail
1029,Cliente_29,Norte,SMB
1030,Cliente_30,Oeste,Retail
1031,Cliente_31,Este,Enterprise
1032,Cliente_32,Sur,Retail
1033,Cliente_33,Sur,Enterprise
1034,Cliente_34,Este,Retail
1035,Cliente_35,Norte,Retail
1036,Cliente_36,Oeste,Retail
1037,Cliente_37,Sur,Enterprise
1038,Cliente_38,Oeste,SMB
1039,Cliente_39,Oeste,Retail
1040,Cliente_40,Norte,Retail
1041,Cliente_41,Oeste,Retail
1042,Cliente_42,Este,Retail
1043,Cliente_43,Oeste,Enterprise
1044,Cliente_44,Este,Enterprise
1045,Cliente_45,Sur,SMB
1046,Cliente_46,Este,SMB
1047,Cliente_47,Sur,SMB
1048,Cliente_48,Sur,Retail
1049,Cliente_49,Este,Retail
1050,Cliente_50,Sur,Retail
1051,Cliente_51,Oeste,SMB
1052,Cliente_52,Norte,Enterprise
1053,Cliente_53,Sur,SMB
1054,Cliente_54,Norte,Enterprise
1055,Cliente_55,Este,Retail
1056,Cliente_56,Este,SMB
1057,Cliente_57,Norte,Enterprise
1058,Cliente_58,Norte,SMB
1059,Cliente_59,Este,Retail
1060,Cliente_60,Norte,Retail
