id_venta,fecha,region,vendedor,producto,cantidad,precio_unitario,ingreso,id_cliente
1,2024-01-01,Oeste,Marta,D,12.0,32.0,384.0,
2,2024-01-02,Este,Ana,B,4.0,29.0,116.0,1019
3,2024-01-03,Este,Marta,A,4.0,53.0,212.0,1017
4,2024-01-04,Oeste,Carlos,B,8.0,29.0,232.0,1041
5,2024-01-05,Este,Sofía,D,11.0,25.0,275.0,1052
6,2024-01-06,Oeste,Carlos,B,4.0,39.0,156.0,
7,2024-01-07,Oeste,Marta,D,12.0,48.0,576.0,1053
8,2024-01-08,Norte,Sofía,C,8.0,79.0,632.0,1058
9,2024-01-09,Norte,Ana,C,10.0,44.0,440.0,
10,2024-01-10,Sur,Carlos,A,9.0,33.0,297.0,1045
11,2024-01-11,Sur,Luis,C,7.0,31.0,217.0,1043
12,2024-01-12,Oeste,Luis,B,8.0,40.0,320.0,1037
13,2024-01-13,Oeste,Ana,D,14.0,74.0,1036.0,1015
14,2024-01-14,Norte,Ana,A,6.0,34.0,204.0,1002
15,2024-01-15,Sur,Marta,A,,25.0,350.0,1009
16,2024-01-16,Oeste,Luis,C,12.0,49.0,588.0,
17,2024-01-17,Norte,Ana,C,3.0,63.0,189.0,1022
18,2024-01-18,Oeste,Ana,D,13.0,76.0,988.0,1005
19,2024-01-19,Norte,Luis,C,6.0,28.0,168.0,1010
20,2024-01-20,Sur,Luis,B,3.0,72.0,216.0,1010
21,2024-01-21,Oeste,Luis,B,4.0,69.0,276.0,1027
22,2024-01-22,Sur,Marta,B,2.0,35.0,70.0,1049
23,2024-01-23,Sur,Marta,C,5.0,32.0,160.0,1057
24,2024-01-24,Sur,Sofía,C,2.0,27.0,54.0,1057
25,2024-01-25,Este,Marta,B,8.0,30.0,240.0,
26,2024-01-26,Sur,Luis,A,14.0,71.0,994.0,1056
27,2024-01-27,Oeste,Ana,C,14.0,30.0,420.0,1019
28,2024-01-28,Sur,Luis,A,14.0,43.0,602.0,1032
29,2024-01-29,Sur,Ana,A,4.0,75.0,300.0,1046
30,2024-01-30,Este,Marta,B,,57.0,228.0,1013
31,2024-01-31,Este,Luis,D,10.0,17.0,170.0,1049
32,2024-02-01,Este,Sofía,B,14.0,13.0,182.0,1003
33,2024-02-02,Este,Luis,C,12.0,24.0,288.0,1016
34,2024-02-03,Oeste,Marta,A,3.0,70.0,210.0,1060
35,2024-02-04,Oeste,Ana,B,11.0,24.0,264.0,1023
36,2024-02-05,Oeste,Sofía,D,8.0,30.0,240.0,
37,2024-02-06,Este,Marta,D,7.0,46.0,322.0,1059
38,2024-02-07,Este,Sofía,C,7.0,43.0,301.0,1018
39,2024-02-08,Sur,Marta,D,8.0,13.0,104.0,
40,2024-02-09,Oeste,Marta,B,13.0,22.0,286.0,
41,2024-02-10,Sur,Carlos,A,12.0,79.0,948.0,
42,2024-02-11,Norte,Carlos,A,1.0,38.0,38.0,1029
43,2024-02-12,Oeste,Sofía,A,11.0,28.0,308.0,
44,2024-02-13,Norte,Sofía,D,5.0,67.0,335.0,1022
45,2024-02-14,Oeste,Marta,D,5.0,41.0,205.0,1025
46,2024-02-15,Este,Sofía,A,9.0,67.0,603.0,1036
47,2024-02-16,Norte,Marta,C,14.0,19.0,266.0,1026
48,2024-02-17,Norte,Marta,A,1.0,42.0,42.0,1001
49,2024-02-18,Sur,Luis,D,,66.0,528.0,1051
50,2024-02-19,Norte,Sofía,A,4.0,63.0,252.0,1031
51,2024-02-20,Norte,Carlos,C,13.0,56.0,728.0,1058
52,2024-02-21,Este,Marta,A,7.0,40.0,280.0,1014
53,2024-02-22,Oeste,Ana,C,12.0,67.0,804.0,1016
54,2024-02-23,Sur,Ana,D,13.0,34.0,442.0,1050
55,2024-02-24,Oeste,Luis,C,2.0,55.0,110.0,1049
56,2024-02-25,Oeste,Sofía,B,11.0,47.0,517.0,1036
57,2024-02-26,Oeste,Ana,D,12.0,29.0,348.0,1043
58,2024-02-27,Este,Sofía,B,12.0,22.0,264.0,
59,2024-02-28,Sur,Sofía,D,14.0,46.0,644.0,
60,2024-02-29,Este,Marta,D,11.0,30.0,330.0,
61,2024-03-01,Sur,Carlos,B,12.0,45.0,540.0,
62,2024-03-02,Sur,Luis,C,10.0,58.0,580.0,1023
63,2024-03-03,Sur,Carlos,D,5.0,65.0,325.0,1056
64,2024-03-04,Norte,Marta,A,12.0,63.0,756.0,1020
65,2024-03-05,Oeste,Carlos,A,10.0,44.0,440.0,
66,2024-03-06,Norte,Carlos,B,10.0,12.0,120.0,
